aircraft_id,model,manufacturer,capacity,manufacture_year,status,airline
AC00001,A321neo,Airbus,244,2008,Active,AtlanticJet
AC00002,A320neo,Airbus,186,2012,Active,GlobalWings
AC00003,A321neo,Airbus,244,2008,Retired,AeroSky
AC00004,E190,Embraer,114,2018,Active,AeroSky
AC00005,B737-800,Boeing,189,2011,Active,PacificAero
AC00006,E190,Embraer,114,2005,Retired,GlobalWings
AC00007,A321neo,Airbus,244,2025,Retired,NovaAir
AC00008,B787-9,Boeing,296,2019,Retired,SkyBridge
AC00009,B737-800,Boeing,189,2010,Maintenance,SkyBridge
AC00010,A320neo,Airbus,186,2009,Active,SkyBridge
AC00011,B737-800,Boeing,189,2007,Maintenance,AeroSky
AC00012,A320neo,Airbus,186,2016,Retired,SkyBridge
AC00013,B737-800,Boeing,189,2019,Retired,AeroSky
AC00014,A350-900,Airbus,325,2007,Retired,SkyBridge
AC00015,A321neo,Airbus,244,2024,Active,PacificAero
AC00016,B787-9,Boeing,296,2007,Active,AtlanticJet
AC00017,B787-9,Boeing,296,2014,Active,GlobalWings
AC00018,B737-800,Boeing,189,2017,Active,NovaAir
AC00019,A321neo,Airbus,244,2016,Active,SkyBridge
AC00020,A320neo,Airbus,186,2011,Active,AtlanticJet
AC00021,A321neo,Airbus,244,2025,Active,PacificAero
AC00022,A321neo,Airbus,244,2010,Retired,AtlanticJet
AC00023,B787-9,Boeing,296,2010,Maintenance,NovaAir
AC00024,A320neo,Airbus,186,2025,Retired,GlobalWings
AC00025,A321neo,Airbus,244,2015,Active,GlobalWings
AC00026,B737-800,Boeing,189,2015,Maintenance,SkyBridge
AC00027,B737-800,Boeing,189,2011,Retired,AtlanticJet
AC00028,A320neo,Airbus,186,2011,Maintenance,NovaAir
AC00029,A321neo,Airbus,244,2019,Active,SkyBridge
AC00030,B787-9,Boeing,296,2012,Retired,PacificAero
AC00031,A320neo,Airbus,186,2023,Maintenance,PacificAero
AC00032,A350-900,Airbus,325,2016,Active,GlobalWings
AC00033,E190,Embraer,114,2020,Active,AeroSky
AC00034,B737-800,Boeing,189,2009,Active,AtlanticJet
AC00035,A350-900,Airbus,325,2024,Active,NovaAir
AC00036,A350-900,Airbus,325,2024,Maintenance,PacificAero
AC00037,A320neo,Airbus,186,2022,Active,AtlanticJet
AC00038,A321neo,Airbus,244,2008,Retired,SkyBridge
AC00039,A321neo,Airbus,244,2015,Active,SkyBridge
AC00040,A350-900,Airbus,325,2010,Maintenance,AeroSky
AC00041,A321neo,Airbus,244,2013,Retired,GlobalWings
AC00042,E190,Embraer,114,2008,Active,AtlanticJet
AC00043,E190,Embraer,114,2024,Active,GlobalWings
AC00044,A320neo,Airbus,186,2010,Retired,PacificAero
AC00045,B737-800,Boeing,189,2024,Active,NovaAir
AC00046,B737-800,Boeing,189,2008,Active,SkyBridge
AC00047,B787-9,Boeing,296,2006,Active,PacificAero
AC00048,B737-800,Boeing,189,2007,Maintenance,AeroSky
AC00049,E190,Embraer,114,2009,Active,AtlanticJet
AC00050,A350-900,Airbus,325,2022,Active,SkyBridge
AC00051,E190,Embraer,114,2024,Maintenance,GlobalWings
AC00052,E190,Embraer,114,2011,Active,NovaAir
AC00053,A321neo,Airbus,244,2025,Active,NovaAir
AC00054,E190,Embraer,114,2019,Active,GlobalWings
AC00055,B787-9,Boeing,296,2007,Active,AeroSky
AC00056,E190,Embraer,114,2022,Active,PacificAero
AC00057,B787-9,Boeing,296,2005,Active,AtlanticJet
AC00058,A321neo,Airbus,244,2006,Active,AeroSky
AC00059,B737-800,Boeing,189,2015,Active,PacificAero
AC00060,B787-9,Boeing,296,2013,Maintenance,GlobalWings
AC00061,E190,Embraer,114,2009,Retired,PacificAero
AC00062,A350-900,Airbus,325,2012,Maintenance,NovaAir
AC00063,B787-9,Boeing,296,2008,Active,AtlanticJet
AC00064,A350-900,Airbus,325,2016,Maintenance,NovaAir
AC00065,A350-900,Airbus,325,2006,Active,AeroSky
AC00066,A350-900,Airbus,325,2015,Active,GlobalWings
AC00067,B787-9,Boeing,296,2011,Retired,NovaAir
AC00068,B787-9,Boeing,296,2018,Active,SkyBridge
AC00069,A350-900,Airbus,325,2012,Active,NovaAir
AC00070,E190,Embraer,114,2008,Active,AtlanticJet
AC00071,E190,Embraer,114,2005,Active,GlobalWings
AC00072,B787-9,Boeing,296,2018,Maintenance,NovaAir
AC00073,B787-9,Boeing,296,2017,Active,GlobalWings
AC00074,A350-900,Airbus,325,2005,Maintenance,SkyBridge
AC00075,A350-900,Airbus,325,2014,Maintenance,AtlanticJet
AC00076,A321neo,Airbus,244,2022,Maintenance,GlobalWings
AC00077,B787-9,Boeing,296,2014,Active,AeroSky
AC00078,E190,Embraer,114,2022,Active,AtlanticJet
AC00079,A320neo,Airbus,186,2006,Active,PacificAero
AC00080,A350-900,Airbus,325,2021,Retired,GlobalWings
AC00081,B737-800,Boeing,189,2021,Active,GlobalWings
AC00082,B737-800,Boeing,189,2024,Active,AtlanticJet
AC00083,B787-9,Boeing,296,2017,Active,PacificAero
AC00084,B787-9,Boeing,296,2023,Retired,AeroSky
AC00085,E190,Embraer,114,2007,Maintenance,AtlanticJet
AC00086,E190,Embraer,114,2023,Retired,SkyBridge
AC00087,A320neo,Airbus,186,2011,Active,GlobalWings
AC00088,A320neo,Airbus,186,2017,Active,AtlanticJet
AC00089,A321neo,Airbus,244,2014,Maintenance,SkyBridge
AC00090,B737-800,Boeing,189,2005,Maintenance,PacificAero
AC00091,E190,Embraer,114,2008,Active,PacificAero
AC00092,B787-9,Boeing,296,2021,Active,GlobalWings
AC00093,A320neo,Airbus,186,2007,Active,SkyBridge
AC00094,A320neo,Airbus,186,2010,Maintenance,PacificAero
AC00095,A321neo,Airbus,244,2014,Retired,AtlanticJet
AC00096,E190,Embraer,114,2005,Retired,SkyBridge
AC00097,A321neo,Airbus,244,2008,Active,SkyBridge
AC00098,B737-800,Boeing,189,2008,Retired,GlobalWings
AC00099,A320neo,Airbus,186,2014,Retired,GlobalWings
AC00100,A321neo,Airbus,244,2015,Active,AtlanticJet
AC00101,A321neo,Airbus,244,2013,Retired,NovaAir
AC00102,A320neo,Airbus,186,2006,Active,AtlanticJet
AC00103,A350-900,Airbus,325,2013,Active,AeroSky
AC00104,A320neo,Airbus,186,2009,Active,GlobalWings
AC00105,A321neo,Airbus,244,2019,Retired,AtlanticJet
AC00106,A350-900,Airbus,325,2022,Active,AeroSky
AC00107,B737-800,Boeing,189,2009,Retired,AeroSky
AC00108,A320neo,Airbus,186,2023,Retired,GlobalWings
AC00109,A350-900,Airbus,325,2009,Active,SkyBridge
AC00110,A320neo,Airbus,186,2006,Active,GlobalWings
AC00111,A321neo,Airbus,244,2012,Active,SkyBridge
AC00112,E190,Embraer,114,2018,Retired,AtlanticJet
AC00113,B787-9,Boeing,296,2012,Active,GlobalWings
AC00114,A350-900,Airbus,325,2005,Active,AtlanticJet
AC00115,A320neo,Airbus,186,2018,Active,SkyBridge
AC00116,B787-9,Boeing,296,2008,Maintenance,AeroSky
AC00117,A350-900,Airbus,325,2012,Active,NovaAir
AC00118,A320neo,Airbus,186,2014,Active,GlobalWings
AC00119,B737-800,Boeing,189,2011,Maintenance,SkyBridge
AC00120,A320neo,Airbus,186,2007,Active,SkyBridge
AC00121,A321neo,Airbus,244,2021,Maintenance,AtlanticJet
AC00122,E190,Embraer,114,2015,Active,AeroSky
AC00123,A320neo,Airbus,186,2010,Retired,SkyBridge
AC00124,B737-800,Boeing,189,2008,Retired,NovaAir
AC00125,A320neo,Airbus,186,2015,Maintenance,PacificAero
AC00126,E190,Embraer,114,2008,Maintenance,PacificAero
AC00127,B787-9,Boeing,296,2013,Active,AtlanticJet
AC00128,A350-900,Airbus,325,2005,Retired,PacificAero
AC00129,A321neo,Airbus,244,2011,Active,NovaAir
AC00130,B737-800,Boeing,189,2015,Retired,SkyBridge
AC00131,A321neo,Airbus,244,2008,Active,PacificAero
AC00132,A320neo,Airbus,186,2018,Active,NovaAir
AC00133,A321neo,Airbus,244,2014,Retired,GlobalWings
AC00134,B787-9,Boeing,296,2018,Maintenance,AtlanticJet
AC00135,A321neo,Airbus,244,2010,Retired,PacificAero
AC00136,A320neo,Airbus,186,2017,Retired,AeroSky
AC00137,A320neo,Airbus,186,2014,Active,NovaAir
AC00138,E190,Embraer,114,2024,Active,NovaAir
AC00139,A350-900,Airbus,325,2019,Active,PacificAero
AC00140,A350-900,Airbus,325,2010,Active,SkyBridge
AC00141,E190,Embraer,114,2025,Retired,SkyBridge
AC00142,B737-800,Boeing,189,2012,Active,GlobalWings
AC00143,B787-9,Boeing,296,2009,Active,AeroSky
AC00144,B787-9,Boeing,296,2020,Retired,AeroSky
AC00145,A350-900,Airbus,325,2018,Retired,GlobalWings
AC00146,A321neo,Airbus,244,2017,Maintenance,NovaAir
AC00147,B787-9,Boeing,296,2009,Active,AeroSky
AC00148,A350-900,Airbus,325,2012,Active,AtlanticJet
AC00149,E190,Embraer,114,2019,Active,PacificAero
AC00150,B787-9,Boeing,296,2008,Maintenance,GlobalWings
AC00151,A350-900,Airbus,325,2021,Retired,PacificAero
AC00152,A320neo,Airbus,186,2019,Retired,AtlanticJet
AC00153,E190,Embraer,114,2018,Retired,NovaAir
AC00154,B787-9,Boeing,296,2020,Maintenance,SkyBridge
AC00155,B787-9,Boeing,296,2025,Active,PacificAero
AC00156,A350-900,Airbus,325,2025,Active,SkyBridge
AC00157,A350-900,Airbus,325,2007,Active,GlobalWings
AC00158,A320neo,Airbus,186,2015,Active,PacificAero
AC00159,B737-800,Boeing,189,2009,Active,GlobalWings
AC00160,A350-900,Airbus,325,2009,Active,AeroSky
AC00161,A350-900,Airbus,325,2018,Active,PacificAero
AC00162,A350-900,Airbus,325,2018,Active,GlobalWings
AC00163,A350-900,Airbus,325,2017,Retired,AtlanticJet
AC00164,B737-800,Boeing,189,2023,Maintenance,NovaAir
AC00165,B737-800,Boeing,189,2016,Active,NovaAir
AC00166,A350-900,Airbus,325,2022,Retired,PacificAero
AC00167,B787-9,Boeing,296,2020,Active,SkyBridge
AC00168,A350-900,Airbus,325,2020,Active,NovaAir
AC00169,A320neo,Airbus,186,2017,Active,NovaAir
AC00170,B787-9,Boeing,296,2024,Retired,AeroSky
AC00171,A350-900,Airbus,325,2023,Retired,AtlanticJet
AC00172,B737-800,Boeing,189,2007,Maintenance,GlobalWings
AC00173,A350-900,Airbus,325,2010,Active,SkyBridge
AC00174,A350-900,Airbus,325,2015,Active,NovaAir
AC00175,A320neo,Airbus,186,2015,Maintenance,SkyBridge
AC00176,A350-900,Airbus,325,2013,Active,NovaAir
AC00177,B737-800,Boeing,189,2022,Active,SkyBridge
AC00178,B787-9,Boeing,296,2025,Active,AtlanticJet
AC00179,B737-800,Boeing,189,2005,Active,GlobalWings
AC00180,B737-800,Boeing,189,2024,Active,GlobalWings
AC00181,B787-9,Boeing,296,2020,Active,PacificAero
AC00182,B787-9,Boeing,296,2019,Active,SkyBridge
AC00183,B787-9,Boeing,296,2024,Retired,AtlanticJet
AC00184,A321neo,Airbus,244,2008,Active,SkyBridge
AC00185,B737-800,Boeing,189,2023,Active,SkyBridge
AC00186,E190,Embraer,114,2017,Maintenance,AtlanticJet
AC00187,B787-9,Boeing,296,2007,Retired,AtlanticJet
AC00188,A321neo,Airbus,244,2012,Active,AtlanticJet
AC00189,A320neo,Airbus,186,2024,Active,PacificAero
AC00190,B737-800,Boeing,189,2016,Retired,NovaAir
AC00191,A321neo,Airbus,244,2016,Active,PacificAero
AC00192,A321neo,Airbus,244,2015,Active,NovaAir
AC00193,A350-900,Airbus,325,2008,Maintenance,SkyBridge
AC00194,A321neo,Airbus,244,2019,Active,NovaAir
AC00195,B787-9,Boeing,296,2021,Active,PacificAero
AC00196,E190,Embraer,114,2020,Maintenance,NovaAir
AC00197,A321neo,Airbus,244,2023,Active,SkyBridge
AC00198,B787-9,Boeing,296,2007,Active,NovaAir
AC00199,B787-9,Boeing,296,2019,Retired,PacificAero
AC00200,A321neo,Airbus,244,2017,Active,AeroSky
AC00201,A350-900,Airbus,325,2015,Active,NovaAir
AC00202,B787-9,Boeing,296,2016,Active,SkyBridge
AC00203,A320neo,Airbus,186,2024,Active,PacificAero
AC00204,B737-800,Boeing,189,2021,Active,AeroSky
AC00205,B787-9,Boeing,296,2018,Maintenance,PacificAero
AC00206,B787-9,Boeing,296,2020,Maintenance,NovaAir
AC00207,B737-800,Boeing,189,2007,Active,GlobalWings
AC00208,A350-900,Airbus,325,2012,Active,AtlanticJet
AC00209,E190,Embraer,114,2016,Maintenance,PacificAero
AC00210,E190,Embraer,114,2016,Maintenance,AtlanticJet
AC00211,E190,Embraer,114,2015,Active,AtlanticJet
AC00212,A350-900,Airbus,325,2013,Active,SkyBridge
AC00213,B787-9,Boeing,296,2008,Active,SkyBridge
AC00214,B737-800,Boeing,189,2022,Active,GlobalWings
AC00215,B787-9,Boeing,296,2020,Active,AtlanticJet
AC00216,E190,Embraer,114,2021,Retired,SkyBridge
AC00217,B737-800,Boeing,189,2011,Active,GlobalWings
AC00218,A320neo,Airbus,186,2010,Active,AeroSky
AC00219,A321neo,Airbus,244,2022,Active,SkyBridge
AC00220,B737-800,Boeing,189,2006,Retired,SkyBridge
AC00221,A321neo,Airbus,244,2009,Maintenance,AeroSky
AC00222,B737-800,Boeing,189,2023,Active,NovaAir
AC00223,A350-900,Airbus,325,2019,Active,GlobalWings
AC00224,B737-800,Boeing,189,2013,Maintenance,AeroSky
AC00225,B737-800,Boeing,189,2017,Maintenance,AeroSky
AC00226,E190,Embraer,114,2025,Active,GlobalWings
AC00227,B787-9,Boeing,296,2023,Active,AeroSky
AC00228,B787-9,Boeing,296,2008,Retired,NovaAir
AC00229,E190,Embraer,114,2024,Retired,GlobalWings
AC00230,E190,Embraer,114,2017,Maintenance,NovaAir
AC00231,A320neo,Airbus,186,2023,Maintenance,SkyBridge
AC00232,E190,Embraer,114,2024,Active,PacificAero
AC00233,A321neo,Airbus,244,2008,Active,AtlanticJet
AC00234,B787-9,Boeing,296,2013,Active,GlobalWings
AC00235,B787-9,Boeing,296,2010,Retired,AeroSky
AC00236,B787-9,Boeing,296,2005,Maintenance,NovaAir
AC00237,A321neo,Airbus,244,2024,Maintenance,SkyBridge
AC00238,B737-800,Boeing,189,2012,Active,AtlanticJet
AC00239,A320neo,Airbus,186,2019,Active,AtlanticJet
AC00240,B787-9,Boeing,296,2013,Retired,AtlanticJet
AC00241,B787-9,Boeing,296,2018,Active,PacificAero
AC00242,B787-9,Boeing,296,2025,Active,SkyBridge
AC00243,B787-9,Boeing,296,2007,Active,GlobalWings
AC00244,A320neo,Airbus,186,2024,Retired,SkyBridge
AC00245,A350-900,Airbus,325,2008,Maintenance,AtlanticJet
AC00246,A320neo,Airbus,186,2017,Active,PacificAero
AC00247,E190,Embraer,114,2020,Maintenance,AeroSky
AC00248,E190,Embraer,114,2006,Maintenance,AtlanticJet
AC00249,A320neo,Airbus,186,2024,Active,AeroSky
AC00250,B737-800,Boeing,189,2012,Retired,PacificAero
AC00251,B737-800,Boeing,189,2013,Retired,AeroSky
AC00252,B787-9,Boeing,296,2020,Retired,AtlanticJet
AC00253,A350-900,Airbus,325,2013,Active,PacificAero
AC00254,A350-900,Airbus,325,2025,Maintenance,AeroSky
AC00255,A350-900,Airbus,325,2016,Maintenance,SkyBridge
AC00256,A320neo,Airbus,186,2008,Active,SkyBridge
AC00257,A350-900,Airbus,325,2020,Active,AtlanticJet
AC00258,A350-900,Airbus,325,2022,Active,NovaAir
AC00259,B737-800,Boeing,189,2015,Active,SkyBridge
AC00260,B737-800,Boeing,189,2017,Retired,AeroSky
AC00261,A321neo,Airbus,244,2022,Maintenance,NovaAir
AC00262,B737-800,Boeing,189,2011,Retired,SkyBridge
